"Title","Type","Availability","MSRP Currency","MSRP","Show Price Currency","Show Price","Publisher","Location","Priority","Notes","Thumbs","BGGId","BGGVersionId","Mfg Product Code","Release Date","Override Release Date","Events"
"Tricks and Treats","Standalone","For Sale","USD",10,"N/A","N/A","Trick or Treat Studios","","N/A","N/A",14,"127028","625028","","2022-00-00","Q2 2023",""
"Halloween","Standalone","For Sale","USD",60,"N/A","N/A","Trick or Treat Studios","","N/A","N/A",48,"380175","649402","TPQHHB01","0000-00-00","Q3 2023",""
"The Texas Chainsaw Massacre Board Game","Standalone","For Sale","USD",60,"N/A","N/A","Trick or Treat Studios","","N/A","N/A",30,"369082","628287","","0000-00-00","Q3 2022",""
"Gold West","Standalone","For Sale","USD",60,"N/A","N/A","Trick or Treat Studios","","N/A","N/A",47,"154086","649807","","2023-05-23","Q3/Q4 2023",""
"Halloween Party","Standalone","For Sale","USD",10,"N/A","N/A","Trick or Treat Studios","","N/A","N/A",8,"9388","628183","TPQHPB01","0000-00-00","Q2 2022",""
"Snap Ships Tactics","Standalone","Demo","N/A","N/A","N/A","N/A","Snap Ships","1941 (Lynnvander Studios)","N/A","N/A",31,"363841","617261","","2023-00-00","",""
"Make the Difference","Standalone","For Sale","USD",30,"N/A","N/A","Oink Games","2632","N/A","N/A",25,"365727","665993","","0000-00-00","Q3 2023",""
"Tiger & Dragon","Standalone","For Sale","USD",39,"N/A","N/A","Oink Games","2632","N/A","N/A",25,"349992","665989","","0000-00-00","Q3 2023",""
"Davy Jones' Locker: The Kraken Wakes","Standalone","For Sale","USD",80,"N/A","N/A","PudKat Games","2855","N/A","N/A",21,"342081","570387","","2023-08-00","",""
"Elawa","Standalone","Demo","N/A","N/A","N/A","N/A","Bombyx","1460","N/A","N/A",12,"379625","648515","","2023-06-16","",""
"Knarr","Standalone","Demo","N/A","N/A","N/A","N/A","Bombyx","1460","N/A","N/A",12,"379629","648519","","2023-08-00","",""
"Freelancers: A Crossroads Game","Standalone","For Sale","USD",60,"N/A","N/A","Plaid Hat Games","2021","N/A","N/A",63,"383206","654775","PH3800","2023-08-03","",""
"Ashes Reborn: Red Rains – The Corpse of Viros","Expansion","For Sale","USD",40,"N/A","N/A","Plaid Hat Games","2021","N/A","N/A",28,"375374","640916","PH1225-5","2023-07-00","",""
"Mistwind","Standalone","Demo","N/A","N/A","N/A","N/A","First Fish Games","357","N/A","N/A",56,"366251","622507","","2023-00-00","",""
"Oathsworn: Into the Deepwood","Standalone","For Sale","N/A","N/A","N/A","N/A","Shadowborne Games","2136","N/A","N/A",59,"251661","632027","","0000-00-00","Q3 2023",""
"Infiltraitors","Standalone","For Sale","USD",20,"N/A","N/A","Broadway Toys LTD","2762","N/A","N/A",19,"353945","667140","","2023-08-00","",""
"Urubamba Valley","Standalone","Demo","N/A","N/A","N/A","N/A","Broadway Toys LTD","2762","N/A","N/A",16,"391162","665559","","2023-10-00","",""
"The Plot Thickens: Detective Edition","Standalone","For Sale","USD",25,"N/A","N/A","Bright Eye Games","1360","N/A","N/A",14,"210816","329286","","2023-09-00","",""
"The Plot Thickens: Romance Edition","Standalone","For Sale","USD",25,"N/A","N/A","Bright Eye Games","1360","N/A","N/A",10,"210818","329288","","2023-09-00","",""
"The Plot Thickens: Sci-Fi Edition","Standalone","For Sale","USD",25,"N/A","N/A","Bright Eye Games","1360","N/A","N/A",12,"210817","329287","","2023-09-00","",""
"Battle Dentale","Standalone","Demo","N/A","N/A","N/A","N/A","Bright Eye Games","1360","N/A","N/A",8,"391341","665928","BAD001","2023-00-00","",""
"The Last of Us: Escape the Dark","Standalone","Demo","N/A","N/A","N/A","N/A","Themeborne Ltd.","668","N/A","N/A",31,"374593","639074","","2023-12-00","Q1 2024",""
"Deadlines","Standalone","For Sale","USD",20,"N/A","N/A","FoxMind","2002","N/A","N/A",7,"318714","655658","DEADLINES-EN","2023-08-00","",""
"Sports Dice: Hockey","Standalone","For Sale","USD",15,"N/A","N/A","FunWiz","2002 (FoxMind)","N/A","N/A",13,"386268","657754","","2023-08-00","",""
"Memo Rush","Standalone","For Sale","USD",20,"N/A","N/A","FoxMind","2002","N/A","N/A",5,"382937","654264","","2023-06-15","",""
"Piece of Cake","Standalone","For Sale","USD",20,"N/A","N/A","FoxMind","2002","N/A","N/A",11,"386269","657759","","2023-09-00","",""
"Pyramido","Standalone","For Sale","USD",35,"N/A","N/A","Synapses Games","1321, 1429, 1521 (Flat River Group)","N/A","N/A",30,"329484","548002","","2023-09-08","",""
"Bruxelles 1893: Belle Epoque","Standalone","For Sale","USD",70,"N/A","N/A","Geek Attitude Games","1321, 1429, 1521 (Flat River Group)","N/A","N/A",55,"345155","664286","","2023-09-00","",""
"Rumble Jungle","Standalone","For Sale","USD",10,"N/A","N/A","Four Fun Games LLC","3029 (CGS)","N/A","N/A",3,"393198","668981","","2023-09-00","",""
"Sleepy Cats","Standalone","For Sale","USD",10,"N/A","N/A","Four Fun Games LLC","3029 (CGS)","N/A","N/A",3,"393196","668978","","2023-09-00","",""
"Chronicles of Drunagor: Age of Darkness – Apocalypse","Expansion","Demo","N/A","N/A","N/A","N/A","Creative Games Studio LLC","3029","N/A","N/A",5,"337277","561382","","2023-09-00","",""
"DANTE: The Invasion of Hell","Standalone","Demo","N/A","N/A","N/A","N/A","Creative Games Studio LLC","3029","N/A","N/A",10,"368309","626669","","2025-00-00","",""
"Chronicles of Drunagor: Age of Darkness","Standalone","For Sale","USD",139,"N/A","N/A","Creative Games Studio LLC","3029","N/A","N/A",9,"268012","647207","","2023-08-00","",""
"Hello Kitty: Day at the Park","Standalone","Demo","N/A","N/A","N/A","N/A","Maestro Media","265","N/A","N/A",8,"387917","660212","","0000-00-00","",""
"The Smurfs: Hidden Village","Standalone","Demo","N/A","N/A","N/A","N/A","Maestro Media","265","N/A","N/A",8,"391191","665598","","2024-00-00","",""
"Sally Face: Strange Nightmares","Standalone","Demo","N/A","N/A","N/A","N/A","Maestro Media","265","N/A","N/A",6,"366071","622015","","0000-00-00","",""
"The Binding of Isaac: Four Souls Requiem","Expansion","For Sale","USD",35,"N/A","N/A","Maestro Media","265","N/A","N/A",7,"336844","560500","","2023-00-00","",""
"Shut Up, Cat!","Standalone","Demo","N/A","N/A","N/A","N/A","Gravitic Games","2904 (AEGIS)","N/A","N/A",4,"389011","662207","","0000-00-00","Q4 2023",""
"Atlantis Rising: Monstrosities","Expansion","For Sale","USD",45,"N/A","N/A","Elf Creek Games","2741","N/A","N/A",52,"321302","529956","","2023-07-00","",""
"Charcuterie: The Board Game","Standalone","Demo","N/A","N/A","N/A","N/A","3WS Games","151","N/A","N/A",84,"360058","605867","","2023-00-00","",""
"The Stuff of Legend","Standalone","For Sale","USD",100,"N/A","N/A","3WS Games","151","N/A","N/A",41,"256704","413055","","2023-00-00","Q1 2023",""
"Mission Control: Critical Orbit","Standalone","For Sale","USD",40,"N/A","N/A","3WS Games","151","N/A","N/A",42,"360121","605986","","2023-00-00","Q2 2023",""
"Everything Ever","Standalone","For Sale","USD",25,"N/A","N/A","Floodgate Games","439","N/A","N/A",16,"391086","665458","FGG-EE","2023-08-04","",""
"800 Pound Gorilla","Standalone","For Sale","USD",15,"N/A","N/A","Dolphin Hat Games","1550","N/A","N/A",3,"392097","667160","","2023-07-01","",""
"Kinfire Chronicles: Night's Fall","Standalone","For Sale","USD",149,"N/A","N/A","Incredible Dream Studios","2345 (Forteller)","N/A","N/A",81,"364655","619247","","2023-08-00","",""
"Kinfire Delve: Vainglory's Grotto","Standalone","Demo","N/A","N/A","N/A","N/A","Incredible Dream Studios","2345 (Forteller)","N/A","N/A",48,"391795","666708","","2023-10-00","",""
"Horticulture","Standalone","For Sale","USD",25,"N/A","N/A","Last Night Games","2861","N/A","N/A",23,"377032","643909","2023-HORT","2023-05-00","",""
"Galaxy Rush","Standalone","For Sale","USD",30,"N/A","N/A","Last Night Games","2861","N/A","N/A",13,"377576","644798","2023-GALA","2023-05-00","",""
"Star Wars: Shatterpoint","Standalone","For Sale","USD",165,"N/A","N/A","Atomic Mass Games","809, 815, 823, 929, 1109, 1115 (Asmodee)","N/A","N/A",32,"374562","639011","","2023-06-02","",""
"REM Racers","Standalone","Demo","N/A","N/A","N/A","N/A","Corvus Belli","2547","N/A","N/A",7,"381741","652073","","0000-00-00","",""
"Wild Gardens","Standalone","Demo","N/A","N/A","N/A","N/A","Rose Gauntlet Entertainment","364","N/A","N/A",34,"371133","632921","","2024-00-00","Q2 2024",""
"In the Stars","Standalone","Demo","N/A","N/A","N/A","N/A","Sunrise Tornado Game Studio","**See listing","N/A","N/A",16,"356925","600061","","2023-00-00","Q4 2024",""
"FORK","Standalone","Demo","N/A","N/A","N/A","N/A","Sunrise Tornado Game Studio","**See listing","N/A","N/A",22,"370095","630736","","2023-00-00","Q4 2024",""
"1-2-3 Cheese!","Standalone","Demo","N/A","N/A","N/A","N/A","Sunrise Tornado Game Studio","**See listing","N/A","N/A",10,"337487","561706","","2022-01-00","Q3 2024",""
"Trailblazers","Standalone","For Sale","USD",50,"N/A","N/A","Bitewing Games","1641 (Allplay)","N/A","N/A",65,"352454","590525","","2023-06-00","",""
"Last Light","Standalone","For Sale","N/A","N/A","N/A","N/A","Grey Fox Games","2603","N/A","N/A",214,"315727","519860","","2023-04-00","Q3 2023",""
"Sanssouci","Standalone","For Sale","USD",50,"USD",40,"Imperial Publishing, Inc","2101 (Mayday Games)","N/A","N/A",31,"146816","622572","","2023-08-03","",""
"Keep'em Rolling: Race to the Rhine","Standalone","Demo","N/A","N/A","N/A","N/A","PHALANX","","N/A","N/A",17,"359443","604700","","2022-11-00","Q3 2023",""
"Behext","Standalone","For Sale","USD",45,"N/A","N/A","Smirk & Dagger Games","1035","N/A","N/A",12,"355632","597505","SND 0071","2023-05-00","",""
"Tesseract","Standalone","Demo","N/A","N/A","N/A","N/A","Smirk & Laughter Games","1035","N/A","N/A",26,"367385","624816","SND 1010","2023-09-00","",""
"Adventure Party: The Role-Playing Party Game","Standalone","Demo","N/A","N/A","N/A","N/A","Smirk & Dagger Games","1035","N/A","N/A",13,"380106","649258","","2024-02-00","",""
"BOOoop.","Standalone","Demo","N/A","N/A","N/A","N/A","Smirk & Dagger Games","1035","N/A","N/A",62,"383579","655460","SND 1013","2023-09-00","",""
"Steam Up: A Feast of Dim Sum","Standalone","For Sale","USD",50,"N/A","N/A","Hot Banana Games","371","N/A","N/A",30,"307561","504678","","2023-04-00","",""
"Agree to Disagree","Standalone","For Sale","USD",25,"N/A","N/A","Adam's Apple Games, LLC","2768","N/A","N/A",13,"388659","661606","","2023-08-03","Q4 2023",""
"Defenders of the Dictionary","Standalone","Demo","N/A","N/A","N/A","N/A","Adam's Apple Games, LLC","2768","N/A","N/A",20,"388641","661566","","2024-00-00","",""
"Unfold: Through the Wall","Standalone","For Sale","USD",1e-7,"N/A","N/A","Alley Cat Games","2766","N/A","N/A",14,"392150","667232","","2023-06-00","",""
"Ticket to Ride Legacy: Legends of the West","Standalone","Demo","N/A","N/A","N/A","N/A","Days of Wonder","809, 815, 823, 929, 1109, 1115 (Asmodee)","N/A","N/A",169,"390092","663918","","2023-11-03","",""
"Star Wars: Unlimited","Standalone","Demo","N/A","N/A","N/A","N/A","Fantasy Flight Games","809, 815, 823, 929, 1109, 1115 (Asmodee)","N/A","N/A",47,"387866","660149","","2024-00-00","",""
"Iron, Blood, Snow & Mud","Standalone","Demo","N/A","N/A","N/A","N/A","PHALANX","","N/A","N/A",16,"341055","568465","","0000-00-00","Q3 2023",""
"Tales from the Red Dragon Inn","Standalone","For Sale","USD",110,"N/A","N/A","SlugFest Games","1219","N/A","N/A",20,"345266","576075","SFG050","2023-08-03","",""
"Renature: Valley","Expansion","For Sale","USD",20,"N/A","N/A","Capstone Games","1649","N/A","N/A",19,"387369","659461","","2023-08-00","",""
"Borderlands: Mister Torgue's Arena of Badassery","Standalone","For Sale","USD",120,"N/A","N/A","Monster Fight Club","255","N/A","N/A",15,"347757","581205","40000","2023-08-00","",""
"Cyberpunk Red: Combat Zone","Standalone","For Sale","USD",120,"N/A","N/A","Monster Fight Club","255","N/A","N/A",6,"336357","559724","","2023-00-00","",""
"Forest Shuffle","Standalone","Demo","N/A","N/A","N/A","N/A","Lookout Games","809, 815, 823, 929, 1109, 1115 (Asmodee)","N/A","N/A",32,"391163","665561","","2023-10-05","",""
"How DARE You?","Standalone","Demo","N/A","N/A","N/A","N/A","Alion – by Dr Ø","2111 (Surfin' Meeple)","N/A","N/A",9,"387763","659997","","2023-10-05","Q4 2023",""
"House of Cats","Standalone","Demo","N/A","N/A","N/A","N/A","Aporta Games","2111 (Surfin' Meeple)","N/A","N/A",24,"386436","658126","","2023-10-05","",""
"Tucana Builders","Standalone","Demo","N/A","N/A","N/A","N/A","Aporta Games","2111 (Surfin' Meeple)","N/A","N/A",28,"386273","657769","","2023-10-05","",""
"Revive: Call of the Abyss","Expansion","Demo","N/A","N/A","N/A","N/A","Aporta Games","2111 (Surfin' Meeple)","N/A","N/A",57,"385685","656939","","2023-10-05","",""
"Terraforming Mars: Ares Expedition – Foundations","Expansion","For Sale","N/A","N/A","N/A","N/A","Stronghold Games","2221","N/A","N/A",9,"358740","603485","","2023-04-00","",""
"Terraforming Mars: Ares Expedition – Discovery","Expansion","For Sale","N/A","N/A","N/A","N/A","Stronghold Games","2221","N/A","N/A",9,"358739","603484","","2023-04-00","",""
"Terraforming Mars: Ares Expedition – Crisis","Expansion","For Sale","N/A","N/A","N/A","N/A","Stronghold Games","2221","N/A","N/A",15,"358738","603483","","2023-03-00","",""
"Path of Light and Shadow: Solstice","Expansion","For Sale","N/A","N/A","N/A","N/A","Stronghold Games","2221","N/A","N/A",12,"336958","560760","","2023-06-00","",""
"Clever 4Ever","Standalone","For Sale","N/A","N/A","N/A","N/A","Stronghold Games","2221","N/A","N/A",21,"366162","669612","","2023-06-00","",""
"That's Pretty Clever! Kids","Standalone","For Sale","N/A","N/A","N/A","N/A","Stronghold Games","2221","N/A","N/A",12,"354892","669611","","2023-06-00","",""
"I Feel Attacked","Standalone","For Sale","N/A","N/A","N/A","N/A","Indie Boards & Cards","2221","N/A","N/A",5,"390095","663923","","2023-08-00","",""
"I Feel Attacked: NSFW Edition","Standalone","For Sale","N/A","N/A","N/A","N/A","Indie Boards & Cards","2221","N/A","N/A",4,"390097","663925","","2023-08-00","",""
"Glom","Standalone","For Sale","N/A","N/A","N/A","N/A","Indie Boards & Cards","2221","N/A","N/A",7,"385415","656519","","2023-06-14","",""
"Applejack","Standalone","For Sale","N/A","N/A","N/A","N/A","Indie Boards & Cards","2221","N/A","N/A",28,"367662","669615","","2023-08-00","",""
"G.I. JOE Mission Critical: Chaos Break","Expansion","For Sale","USD",45,"N/A","N/A","Renegade Game Studios","1619","N/A","N/A",5,"379758","648712","RGS 02529","2023-04-01","",""
"Axis & Allies: 1941","Standalone","For Sale","USD",40,"N/A","N/A","Renegade Game Studios","1619","N/A","N/A",5,"123185","646482","","2023-04-00","",""
"Axis & Allies: 1942","Standalone","For Sale","USD",75,"N/A","N/A","Renegade Game Studios","1619","N/A","N/A",5,"41863","646484","","2023-04-00","",""
"Axis & Allies: Europe 1940","Standalone","For Sale","USD",100,"N/A","N/A","Renegade Game Studios","1619","N/A","N/A",4,"61692","646486","","2023-05-00","",""
"Axis & Allies: Pacific 1940","Standalone","For Sale","USD",100,"N/A","N/A","Renegade Game Studios","1619","N/A","N/A",5,"55829","646485","","2023-04-00","",""
"My Little Pony: Adventures in Equestria Deck-Building Game – Princess Pageantry Expansion","Expansion","For Sale","USD",30,"N/A","N/A","Renegade Game Studios","1619","N/A","N/A",6,"379764","648718","RGS 02535","2023-04-01","",""
"Power Rangers: Heroes of the Grid – Ranger Allies Pack #3","Expansion","For Sale","USD",45,"N/A","N/A","Renegade Game Studios","1619","N/A","N/A",5,"379770","648724","RGS 02545","2023-05-01","",""
"Power Rangers: Heroes of the Grid – Shadow of Venjix Theme Pack","Expansion","For Sale","USD",45,"N/A","N/A","Renegade Game Studios","1619","N/A","N/A",5,"379771","648725","RGS 02546","2023-05-01","",""
"Power Rangers: Heroes of the Grid – Scenario Book 2","Expansion","For Sale","USD",10,"N/A","N/A","Renegade Game Studios","1619","N/A","N/A",5,"379315","648004","","0000-00-00","",""
"G.I. JOE Mission Critical: Sgt Slaughter Figure Pack","Expansion","For Sale","USD",22,"N/A","N/A","Renegade Game Studios","1619","N/A","N/A",6,"379760","648714","RGS 02558","2023-07-01","",""
"Fabled: The Spirit Lands","Standalone","For Sale","USD",45,"N/A","N/A","CrowD Games","1263","N/A","N/A",41,"220452","343611","","2023-08-15","",""
"Super Squad High","Standalone","Demo","N/A","N/A","N/A","N/A","Nerdy Pup Games","","N/A","N/A",11,"375957","641978","","2024-00-00","Q2 2024",""
"Earth","Standalone","For Sale","USD",50,"N/A","N/A","Inside Up Games","1642","N/A","N/A",217,"350184","585875","IUG011","2023-04-22","",""
"Race to the Raft","Standalone","For Sale","USD",50,"N/A","N/A","The City of Games","2758","N/A","N/A",290,"367375","624802","","2023-07-06","",""
"Fit to Print","Standalone","For Sale","USD",40,"N/A","N/A","Flatout Games","403 (AEG)","N/A","N/A",135,"352574","590718","","2023-09-00","",""
"Deep Dive","Standalone","For Sale","USD",25,"N/A","N/A","Flatout Games","403 (AEG)","N/A","N/A",74,"376747","643451","FLA 1032","2023-09-00","",""
"Point City","Standalone","For Sale","USD",25,"N/A","N/A","Flatout Games","403 (AEG)","N/A","N/A",198,"368017","626057","","2023-09-00","",""
"Cascadia: Landmarks","Expansion","Demo","N/A","N/A","N/A","N/A","Flatout Games","403 (AEG)","N/A","N/A",344,"385318","656399","AEG 1034","2023-00-00","Q4 2023",""
"Number Drop","Standalone","For Sale","USD",25,"N/A","N/A","Alderac Entertainment Group","403","N/A","N/A",26,"337784","654669","","2023-08-00","",""
"Shake That City","Standalone","For Sale","USD",40,"N/A","N/A","Alderac Entertainment Group","403","N/A","N/A",84,"359764","605253","","2023-07-00","",""
"Faeries & Magical Creatures","Standalone","For Sale","N/A","N/A","N/A","N/A","Forbidden Games","2901","N/A","N/A",7,"385245","656278","","2023-10-00","",""
"Across America Fluxx","Standalone","For Sale","USD",20,"N/A","N/A","Looney Labs","100","N/A","N/A",4,"375295","640346","LOO-126","2023-03-03","",""
"Around the World Fluxx","Standalone","For Sale","USD",20,"N/A","N/A","Looney Labs","100","N/A","N/A",3,"378278","646065","LOO-127","2023-05-05","",""
"Fluxx: The Board Game","Standalone","For Sale","USD",25,"N/A","N/A","Looney Labs","100","N/A","N/A",3,"140796","651536","LOO-128","2023-07-07","",""
"Dice Throne: Santa v. Krampus","Standalone","For Sale","USD",30,"N/A","N/A","Roxley","3030","N/A","N/A",10,"366310","622670","","0000-00-00","Q4 2022",""
"Jiangnan: Life of Gentry","Standalone","For Sale","USD",99,"N/A","N/A","Moaideas Game Design","2958","N/A","N/A",10,"342674","651806","MGD1034E","0000-00-00","",""
"Grave Trigger","Standalone","Demo","N/A","N/A","N/A","N/A","Cardboard Dynamo","2906 (Giga-Robo)","N/A","N/A",3,"395501","672495","","0000-00-00","Q1 2024",""
"Chocoly","Standalone","For Sale","N/A","N/A","N/A","N/A","FoxMind","2002","N/A","N/A",0,"108832","650824","CHOCO-BIL","2023-02-00","",""
"Hansel & Gretel","Standalone","For Sale","N/A","N/A","N/A","N/A","FoxMind","2002","N/A","N/A",0,"340498","653028","","2023-02-00","",""
"Spirit Island: Nature Incarnate","Expansion","For Sale","N/A","N/A","N/A","N/A","Greater Than Games, LLC","1321, 1429, 1521 (Flat River Group)","N/A","N/A",7,"365137","620161","","2023-00-00","",""
"Ancient Knowledge","Standalone","For Sale","N/A","N/A","N/A","N/A","IELLO","1321, 1429, 1521 (Flat River Group)","N/A","N/A",3,"338093","648878","","2023-00-00","Q4 2023",""
"License to Grill","Standalone","Demo","N/A","N/A","N/A","N/A","Greater Than Games, LLC","1321, 1429, 1521 (Flat River Group)","N/A","N/A",0,"395786","672910","","2024-00-00","",""
"Purrfect Match","Standalone","For Sale","N/A","N/A","N/A","N/A","Greater Than Games, LLC","1321, 1429, 1521 (Flat River Group)","N/A","N/A",0,"396426","673769","","2023-00-00","",""
